date,item_id,name,unit_price,waste,sales_qntty,category,store_name,prediction
2020-06-23,121,Mehrkornbrötchen,0.7,29.0,47.0,Gemischte Brötchen,one,57.6954231262
2020-06-24,121,Mehrkornbrötchen,0.7,28.0,39.0,Gemischte Brötchen,one,65.0832443237
2020-06-22,101,Ebbi,0.4,14.0,246.0,Ebbis und Schnittbrötchen,one,268.2168884277
2020-06-23,101,Ebbi,0.4,104.0,227.0,Ebbis und Schnittbrötchen,one,258.5893554688
2020-06-24,101,Ebbi,0.4,142.0,227.0,Ebbis und Schnittbrötchen,one,277.2612609863
2020-06-22,268,Der Ebbing - MK Brot,3.4,0.0,36.0,Brote,one,33.007358550999996
2020-06-23,268,Der Ebbing - MK Brot,3.4,15.5,20.5,Brote,one,24.4704113007
2020-06-24,268,Der Ebbing - MK Brot,3.4,0.0,28.0,Brote,one,26.4153327942
2020-06-22,128,Laugenstangen,1.0,20.0,50.0,Gemischte Brötchen,one,49.034442901599995
2020-06-23,128,Laugenstangen,1.0,15.0,51.0,Gemischte Brötchen,one,47.2636947632
2020-06-24,128,Laugenstangen,1.0,6.0,46.0,Gemischte Brötchen,one,46.346870422399995
2020-06-25,102,Schnittbrötchen,0.36,60.0,338.0,Ebbis und Schnittbrötchen,one,359.00619506839996
2020-06-26,102,Schnittbrötchen,0.36,5.0,539.0,Ebbis und Schnittbrötchen,one,487.97579956050004
2020-06-27,102,Schnittbrötchen,0.36,10.0,687.0,Ebbis und Schnittbrötchen,one,706.333190918
2020-06-25,121,Mehrkornbrötchen,0.7,0.0,72.0,Gemischte Brötchen,one,65.5711364746
2020-06-26,121,Mehrkornbrötchen,0.7,30.0,48.0,Gemischte Brötchen,one,67.9158782959
2020-06-27,121,Mehrkornbrötchen,0.7,0.0,100.0,Gemischte Brötchen,one,92.52347564700001
2020-06-25,101,Ebbi,0.4,5.0,322.0,Ebbis und Schnittbrötchen,one,268.9653930664
2020-06-26,101,Ebbi,0.4,159.0,350.0,Ebbis und Schnittbrötchen,one,371.94857788089996
2020-06-27,101,Ebbi,0.4,271.0,426.0,Ebbis und Schnittbrötchen,one,502.75759887699996
2020-06-25,268,Der Ebbing - MK Brot,3.4,0.0,28.0,Brote,one,22.955558776900002
2020-06-26,268,Der Ebbing - MK Brot,3.4,1.0,23.0,Brote,one,22.893787384
2020-06-27,268,Der Ebbing - MK Brot,3.4,1.0,31.5,Brote,one,29.612411499
2020-06-25,128,Laugenstangen,1.0,0.0,56.0,Gemischte Brötchen,one,47.448886871300004
2020-06-26,128,Laugenstangen,1.0,2.0,41.0,Gemischte Brötchen,one,49.053691863999994
2020-06-27,128,Laugenstangen,1.0,0.0,63.0,Gemischte Brötchen,one,60.2239570618
2020-06-29,102,Schnittbrötchen,0.36,0.0,325.0,Ebbis und Schnittbrötchen,one,327.3627624512
2020-06-30,102,Schnittbrötchen,0.36,0.0,277.0,Ebbis und Schnittbrötchen,one,325.3358764648
2020-07-01,102,Schnittbrötchen,0.36,141.0,270.0,Ebbis und Schnittbrötchen,one,349.2314453125
2020-07-02,102,Schnittbrötchen,0.36,0.0,374.0,Ebbis und Schnittbrötchen,one,371.2192993164
2020-06-29,121,Mehrkornbrötchen,0.7,19.0,59.0,Gemischte Brötchen,one,54.9387779236
2020-06-30,121,Mehrkornbrötchen,0.7,8.0,47.0,Gemischte Brötchen,one,47.566036224399994
2020-07-01,121,Mehrkornbrötchen,0.7,0.0,64.0,Gemischte Brötchen,one,51.1227264404
2020-07-02,121,Mehrkornbrötchen,0.7,6.0,67.0,Gemischte Brötchen,one,56.6011123657
2020-06-29,101,Ebbi,0.4,0.0,190.0,Ebbis und Schnittbrötchen,one,252.54405212400002
2020-06-30,101,Ebbi,0.4,0.0,175.0,Ebbis und Schnittbrötchen,one,227.0981903076
2020-07-01,101,Ebbi,0.4,86.0,276.0,Ebbis und Schnittbrötchen,one,262.4593505859
2020-07-02,101,Ebbi,0.4,37.0,340.0,Ebbis und Schnittbrötchen,one,284.3492736816
2020-06-29,268,Der Ebbing - MK Brot,3.4,1.0,35.0,Brote,one,30.571363449099998
2020-06-30,268,Der Ebbing - MK Brot,3.4,3.5,27.5,Brote,one,22.212436676
2020-07-01,268,Der Ebbing - MK Brot,3.4,2.0,30.0,Brote,one,26.788303375199998
2020-07-02,268,Der Ebbing - MK Brot,3.4,5.0,18.5,Brote,one,24.1762523651
2020-06-29,128,Laugenstangen,1.0,5.0,50.0,Gemischte Brötchen,one,47.171653747600004
2020-06-30,128,Laugenstangen,1.0,6.0,37.0,Gemischte Brötchen,one,42.5266914368
2020-07-01,128,Laugenstangen,1.0,12.0,34.0,Gemischte Brötchen,one,46.6657676697
2020-07-02,128,Laugenstangen,1.0,22.0,52.0,Gemischte Brötchen,one,46.3941383362
2020-07-03,102,Schnittbrötchen,0.36,0.0,375.0,Ebbis und Schnittbrötchen,one,466.0747680664
2020-07-04,102,Schnittbrötchen,0.36,0.0,663.0,Ebbis und Schnittbrötchen,one,652.6294555664
2020-07-06,102,Schnittbrötchen,0.36,0.0,291.0,Ebbis und Schnittbrötchen,one,320.8305664062
2020-07-03,121,Mehrkornbrötchen,0.7,2.0,95.0,Gemischte Brötchen,one,65.3066101074
2020-07-04,121,Mehrkornbrötchen,0.7,0.0,149.0,Gemischte Brötchen,one,96.7666015625
2020-07-06,121,Mehrkornbrötchen,0.7,14.0,65.0,Gemischte Brötchen,one,56.8483085632
2020-07-03,101,Ebbi,0.4,44.0,493.0,Ebbis und Schnittbrötchen,one,359.0392456055
2020-07-04,101,Ebbi,0.4,0.0,502.0,Ebbis und Schnittbrötchen,one,489.3766784668
2020-07-06,101,Ebbi,0.4,0.0,272.0,Ebbis und Schnittbrötchen,one,282.7257080078
2020-07-03,268,Der Ebbing - MK Brot,3.4,0.0,16.5,Brote,one,23.0317249298
2020-07-04,268,Der Ebbing - MK Brot,3.4,0.0,28.0,Brote,one,32.2471809387
2020-07-06,268,Der Ebbing - MK Brot,3.4,1.5,30.5,Brote,one,33.7788734436
2020-07-03,128,Laugenstangen,1.0,0.0,50.0,Gemischte Brötchen,one,44.7123718262
2020-07-04,128,Laugenstangen,1.0,13.0,58.0,Gemischte Brötchen,one,53.7114982605
2020-07-06,128,Laugenstangen,1.0,16.0,35.0,Gemischte Brötchen,one,47.26132202149999
2020-07-07,102,Schnittbrötchen,0.36,0.0,316.0,Ebbis und Schnittbrötchen,one,312.698425293
2020-07-08,102,Schnittbrötchen,0.36,1.0,349.0,Ebbis und Schnittbrötchen,one,342.7626953125
2020-07-09,102,Schnittbrötchen,0.36,0.0,257.0,Ebbis und Schnittbrötchen,one,359.0200500488
2020-07-10,102,Schnittbrötchen,0.36,46.0,341.0,Ebbis und Schnittbrötchen,one,473.04205322269996
2020-07-07,121,Mehrkornbrötchen,0.7,23.0,53.0,Gemischte Brötchen,one,59.144092559799994
2020-07-08,121,Mehrkornbrötchen,0.7,2.0,58.0,Gemischte Brötchen,one,66.6550140381
2020-07-09,121,Mehrkornbrötchen,0.7,11.0,72.0,Gemischte Brötchen,one,62.1463851929
2020-07-10,121,Mehrkornbrötchen,0.7,27.0,71.0,Gemischte Brötchen,one,71.7730636597
2020-07-07,101,Ebbi,0.4,0.0,207.0,Ebbis und Schnittbrötchen,one,276.2611083984
2020-07-08,101,Ebbi,0.4,0.0,219.0,Ebbis und Schnittbrötchen,one,319.0676879883
2020-07-09,101,Ebbi,0.4,0.0,270.0,Ebbis und Schnittbrötchen,one,321.6697387695
2020-07-10,101,Ebbi,0.4,106.0,437.0,Ebbis und Schnittbrötchen,one,428.7302246094
2020-07-07,268,Der Ebbing - MK Brot,3.4,15.0,17.0,Brote,one,25.9355049133
2020-07-08,268,Der Ebbing - MK Brot,3.4,0.0,22.0,Brote,one,28.0274105072
2020-07-09,268,Der Ebbing - MK Brot,3.4,0.0,24.0,Brote,one,24.941827774
2020-07-10,268,Der Ebbing - MK Brot,3.4,0.0,16.5,Brote,one,22.729461669899997
2020-07-07,128,Laugenstangen,1.0,0.0,44.0,Gemischte Brötchen,one,42.8295135498
2020-07-08,128,Laugenstangen,1.0,4.0,38.0,Gemischte Brötchen,one,44.679039001499994
2020-07-09,128,Laugenstangen,1.0,2.0,51.0,Gemischte Brötchen,one,45.5881309509
2020-07-10,128,Laugenstangen,1.0,3.0,53.0,Gemischte Brötchen,one,47.0932388306
2020-07-11,102,Schnittbrötchen,0.36,58.0,642.0,Ebbis und Schnittbrötchen,one,612.4866943359
2020-07-13,102,Schnittbrötchen,0.36,37.0,343.0,Ebbis und Schnittbrötchen,one,324.9189453125
2020-07-14,102,Schnittbrötchen,0.36,42.0,340.0,Ebbis und Schnittbrötchen,one,335.0332336426
2020-07-11,121,Mehrkornbrötchen,0.7,8.0,136.0,Gemischte Brötchen,one,108.6962432861
2020-07-13,121,Mehrkornbrötchen,0.7,20.0,57.0,Gemischte Brötchen,one,63.21144104
2020-07-14,121,Mehrkornbrötchen,0.7,7.0,77.0,Gemischte Brötchen,one,61.8005485535
2020-07-11,101,Ebbi,0.4,116.0,472.0,Ebbis und Schnittbrötchen,one,480.7130432129
2020-07-13,101,Ebbi,0.4,22.0,307.0,Ebbis und Schnittbrötchen,one,281.954864502
2020-07-14,101,Ebbi,0.4,3.0,263.0,Ebbis und Schnittbrötchen,one,254.2420654297
2020-07-11,268,Der Ebbing - MK Brot,3.4,0.0,24.5,Brote,one,29.4740180969
2020-07-13,268,Der Ebbing - MK Brot,3.4,0.0,30.0,Brote,one,28.4980278015
2020-07-14,268,Der Ebbing - MK Brot,3.4,0.0,19.5,Brote,one,21.4500770569
2020-07-11,128,Laugenstangen,1.0,0.0,60.0,Gemischte Brötchen,one,55.6240577698
2020-07-13,128,Laugenstangen,1.0,3.0,41.0,Gemischte Brötchen,one,42.4072875977
2020-07-14,128,Laugenstangen,1.0,0.0,41.0,Gemischte Brötchen,one,43.292148590100005
2020-07-15,102,Schnittbrötchen,0.36,78.0,318.0,Ebbis und Schnittbrötchen,one,349.6460876465
2020-07-16,102,Schnittbrötchen,0.36,86.0,321.0,Ebbis und Schnittbrötchen,one,359.4078063965
2020-07-17,102,Schnittbrötchen,0.36,3.0,418.0,Ebbis und Schnittbrötchen,one,443.3950500488
2020-07-18,102,Schnittbrötchen,0.36,3.0,766.0,Ebbis und Schnittbrötchen,one,662.5161132812
2020-07-15,121,Mehrkornbrötchen,0.7,19.0,67.0,Gemischte Brötchen,one,67.4211654663
2020-07-16,121,Mehrkornbrötchen,0.7,1.0,70.0,Gemischte Brötchen,one,71.3086242676
2020-07-17,121,Mehrkornbrötchen,0.7,16.0,61.0,Gemischte Brötchen,one,78.3733139038
2020-07-18,121,Mehrkornbrötchen,0.7,2.0,142.0,Gemischte Brötchen,one,128.7233428955
2020-07-15,101,Ebbi,0.4,29.0,235.0,Ebbis und Schnittbrötchen,one,291.4634399414
2020-07-16,101,Ebbi,0.4,5.0,319.0,Ebbis und Schnittbrötchen,one,301.1340026855
2020-07-17,101,Ebbi,0.4,26.0,384.0,Ebbis und Schnittbrötchen,one,384.6851501465
2020-07-18,101,Ebbi,0.4,0.0,445.0,Ebbis und Schnittbrötchen,one,499.2919921875
2020-07-15,268,Der Ebbing - MK Brot,3.4,1.0,20.0,Brote,one,25.3562679291
2020-07-16,268,Der Ebbing - MK Brot,3.4,0.0,20.0,Brote,one,24.398309707600003
2020-07-17,268,Der Ebbing - MK Brot,3.4,0.0,16.0,Brote,one,21.875688552899998
2020-07-18,268,Der Ebbing - MK Brot,3.4,0.0,20.0,Brote,one,28.7825241089
2020-07-15,128,Laugenstangen,1.0,0.0,32.0,Gemischte Brötchen,one,42.331508636500004
2020-07-16,128,Laugenstangen,1.0,10.0,43.0,Gemischte Brötchen,one,45.2464027405
2020-07-17,128,Laugenstangen,1.0,3.0,64.0,Gemischte Brötchen,one,46.8183822632
2020-07-18,128,Laugenstangen,1.0,22.0,54.0,Gemischte Brötchen,one,56.88073349
2020-07-20,102,Schnittbrötchen,0.36,59.0,262.0,Ebbis und Schnittbrötchen,one,322.328125
2020-07-21,102,Schnittbrötchen,0.36,123.0,251.0,Ebbis und Schnittbrötchen,one,335.5187683105
2020-07-22,102,Schnittbrötchen,0.36,103.0,327.0,Ebbis und Schnittbrötchen,one,356.987487793
2020-07-20,121,Mehrkornbrötchen,0.7,24.0,69.0,Gemischte Brötchen,one,67.1265182495
2020-07-21,121,Mehrkornbrötchen,0.7,37.0,41.0,Gemischte Brötchen,one,65.52951049800001
2020-07-22,121,Mehrkornbrötchen,0.7,0.0,66.0,Gemischte Brötchen,one,62.6681632996
2020-07-20,101,Ebbi,0.4,72.0,262.0,Ebbis und Schnittbrötchen,one,288.4713134766
2020-07-21,101,Ebbi,0.4,126.0,215.0,Ebbis und Schnittbrötchen,one,251.8989105225
2020-07-22,101,Ebbi,0.4,32.0,269.0,Ebbis und Schnittbrötchen,one,279.3411865234
2020-07-20,268,Der Ebbing - MK Brot,3.4,0.0,28.0,Brote,one,29.3463420868
2020-07-21,268,Der Ebbing - MK Brot,3.4,0.0,20.0,Brote,one,20.978752136199997
2020-07-22,268,Der Ebbing - MK Brot,3.4,0.0,26.0,Brote,one,24.2096099854
2020-07-20,128,Laugenstangen,1.0,9.0,35.0,Gemischte Brötchen,one,44.4094276428
2020-07-21,128,Laugenstangen,1.0,21.0,37.0,Gemischte Brötchen,one,40.8483734131
2020-07-22,128,Laugenstangen,1.0,0.0,44.0,Gemischte Brötchen,one,43.053413391099994
2020-07-23,102,Schnittbrötchen,0.36,57.0,306.0,Ebbis und Schnittbrötchen,one,346.74017333980004
2020-07-24,102,Schnittbrötchen,0.36,28.0,380.0,Ebbis und Schnittbrötchen,one,451.7747802734
2020-07-25,102,Schnittbrötchen,0.36,38.0,639.0,Ebbis und Schnittbrötchen,one,693.037902832
2020-07-23,121,Mehrkornbrötchen,0.7,22.0,40.0,Gemischte Brötchen,one,65.1843490601
2020-07-24,121,Mehrkornbrötchen,0.7,21.0,62.0,Gemischte Brötchen,one,74.59102630619999
2020-07-25,121,Mehrkornbrötchen,0.7,0.0,107.0,Gemischte Brötchen,one,127.80445098879999
2020-07-23,101,Ebbi,0.4,73.0,263.0,Ebbis und Schnittbrötchen,one,301.1396789551
2020-07-24,101,Ebbi,0.4,64.0,350.0,Ebbis und Schnittbrötchen,one,399.696472168
2020-07-25,101,Ebbi,0.4,34.0,438.0,Ebbis und Schnittbrötchen,one,469.1587219238
2020-07-23,268,Der Ebbing - MK Brot,3.4,6.0,18.0,Brote,one,21.817325592
2020-07-24,268,Der Ebbing - MK Brot,3.4,0.0,16.0,Brote,one,21.2245407104
2020-07-25,268,Der Ebbing - MK Brot,3.4,0.0,20.0,Brote,one,28.505575180100003
2020-07-23,128,Laugenstangen,1.0,0.0,37.0,Gemischte Brötchen,one,42.8408927917
2020-07-24,128,Laugenstangen,1.0,5.0,55.0,Gemischte Brötchen,one,47.975147247299994
2020-07-25,128,Laugenstangen,1.0,0.0,52.0,Gemischte Brötchen,one,56.017288208000004
2020-07-27,102,Schnittbrötchen,0.36,8.0,345.0,Ebbis und Schnittbrötchen,one,318.2529907227
2020-07-28,102,Schnittbrötchen,0.36,0.0,358.0,Ebbis und Schnittbrötchen,one,313.3493652344
2020-07-29,102,Schnittbrötchen,0.36,23.0,506.0,Ebbis und Schnittbrötchen,one,333.8424682617
2020-07-30,102,Schnittbrötchen,0.36,156.0,295.0,Ebbis und Schnittbrötchen,one,367.90435791019996
2020-07-27,121,Mehrkornbrötchen,0.7,12.0,73.0,Gemischte Brötchen,one,65.6256790161
2020-07-28,121,Mehrkornbrötchen,0.7,6.0,54.0,Gemischte Brötchen,one,57.1221809387
2020-07-29,121,Mehrkornbrötchen,0.7,0.0,50.0,Gemischte Brötchen,one,64.1503448486
2020-07-30,121,Mehrkornbrötchen,0.7,22.0,61.0,Gemischte Brötchen,one,61.9897193909
2020-07-27,101,Ebbi,0.4,1.0,281.0,Ebbis und Schnittbrötchen,one,280.7612609863
2020-07-28,101,Ebbi,0.4,0.0,290.0,Ebbis und Schnittbrötchen,one,255.93757629389998
2020-07-29,101,Ebbi,0.4,6.0,323.0,Ebbis und Schnittbrötchen,one,259.7169189453
2020-07-30,101,Ebbi,0.4,8.0,319.0,Ebbis und Schnittbrötchen,one,303.4010620117
2020-07-27,268,Der Ebbing - MK Brot,3.4,0.0,29.0,Brote,one,28.8408660889
2020-07-28,268,Der Ebbing - MK Brot,3.4,0.0,16.0,Brote,one,22.5207710266
2020-07-29,268,Der Ebbing - MK Brot,3.4,3.0,17.0,Brote,one,26.1562271118
2020-07-30,268,Der Ebbing - MK Brot,3.4,0.0,16.0,Brote,one,22.637657165500002
2020-07-27,128,Laugenstangen,1.0,14.0,44.0,Gemischte Brötchen,one,46.9482536316
2020-07-28,128,Laugenstangen,1.0,0.0,50.0,Gemischte Brötchen,one,41.152011871300004
2020-07-29,128,Laugenstangen,1.0,9.0,45.0,Gemischte Brötchen,one,44.7363510132
2020-07-30,128,Laugenstangen,1.0,14.0,53.0,Gemischte Brötchen,one,45.0241088867
2020-07-31,102,Schnittbrötchen,0.36,13.0,442.0,Ebbis und Schnittbrötchen,one,514.4612426758
2020-08-01,102,Schnittbrötchen,0.36,31.0,661.0,Ebbis und Schnittbrötchen,one,695.1162109375
2020-08-03,102,Schnittbrötchen,0.36,33.0,352.0,Ebbis und Schnittbrötchen,one,352.95822143550004
2020-07-31,121,Mehrkornbrötchen,0.7,0.0,79.0,Gemischte Brötchen,one,72.86306762699999
2020-08-01,121,Mehrkornbrötchen,0.7,4.0,141.0,Gemischte Brötchen,one,128.5256652832
2020-08-03,121,Mehrkornbrötchen,0.7,0.0,74.0,Gemischte Brötchen,one,64.5912017822
2020-07-31,101,Ebbi,0.4,15.0,437.0,Ebbis und Schnittbrötchen,one,434.7717895508
2020-08-01,101,Ebbi,0.4,4.0,511.0,Ebbis und Schnittbrötchen,one,539.2982788086
2020-08-03,101,Ebbi,0.4,124.0,256.0,Ebbis und Schnittbrötchen,one,306.3423156738
2020-07-31,268,Der Ebbing - MK Brot,3.4,1.0,19.0,Brote,one,20.8964309692
2020-08-01,268,Der Ebbing - MK Brot,3.4,0.0,20.0,Brote,one,25.106000900300003
2020-08-03,268,Der Ebbing - MK Brot,3.4,8.5,24.0,Brote,one,27.536998748800002
2020-07-31,128,Laugenstangen,1.0,0.0,60.0,Gemischte Brötchen,one,53.148021698
2020-08-01,128,Laugenstangen,1.0,0.0,67.0,Gemischte Brötchen,one,64.1865081787
2020-08-03,128,Laugenstangen,1.0,0.0,43.0,Gemischte Brötchen,one,49.8714866638
2020-08-04,102,Schnittbrötchen,0.36,95.0,329.0,Ebbis und Schnittbrötchen,one,350.4745788574
2020-08-05,102,Schnittbrötchen,0.36,61.0,370.0,Ebbis und Schnittbrötchen,one,389.4542541504
2020-08-06,102,Schnittbrötchen,0.36,78.0,325.0,Ebbis und Schnittbrötchen,one,384.1989746094
